label,precision,recall,f1-score,support
0,0.39058171745152354,0.5696969696969697,0.46343467543138867,495.0
1,0.6570048309178744,0.4811320754716981,0.5554799183117767,848.0
accuracy,0.5137751303052867,0.5137751303052867,0.5137751303052867,0.5137751303052867
macro avg,0.523793274184699,0.5254145225843339,0.5094572968715827,1343.0
weighted avg,0.5588071829909618,0.5137751303052867,0.5215540841898169,1343.0
